"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"19/12/2025","34,450.0","34,350.0","34,600.0","34,050.0","8.13M","0.29%"
"18/12/2025","34,350.0","34,700.0","34,750.0","33,950.0","5.82M","-1.01%"
"17/12/2025","34,700.0","35,500.0","35,550.0","34,350.0","10.67M","-1.59%"
"16/12/2025","35,260.8","34,569.4","35,260.8","33,912.6","21.83M","2.62%"
"15/12/2025","34,362.0","34,292.8","34,396.6","33,912.6","7.87M","0.40%"
"12/12/2025","34,223.7","34,776.8","34,984.2","34,223.7","11.59M","-1.20%"
"11/12/2025","34,638.5","35,053.4","35,053.4","34,569.4","6.59M","-0.79%"
"10/12/2025","34,915.1","34,846.0","35,122.5","34,638.5","5.59M","0.80%"
"09/12/2025","34,638.5","35,191.6","35,191.6","34,534.8","13.80M","-1.96%"
"08/12/2025","35,329.9","35,537.3","35,537.3","34,984.2","8.84M","-0.78%"
"05/12/2025","35,606.5","36,021.3","36,090.5","35,399.1","9.34M","-0.96%"
"04/12/2025","35,952.2","36,090.5","36,367.0","35,744.8","10.93M","0.00%"
"03/12/2025","35,952.2","34,223.7","36,228.7","34,223.7","32.79M","6.01%"
"02/12/2025","33,912.6","33,843.4","34,016.3","33,463.2","12.94M","1.34%"
"01/12/2025","33,463.2","33,808.9","33,843.4","33,463.2","3.96M","-1.22%"
"28/11/2025","33,878.0","33,636.0","33,878.0","33,324.9","6.76M","0.31%"
"27/11/2025","33,774.3","33,878.0","34,292.8","33,739.7","11.04M","-0.10%"
"26/11/2025","33,808.9","33,394.0","33,808.9","33,117.5","10.23M","1.56%"
"25/11/2025","33,290.3","33,670.6","33,843.4","33,290.3","8.05M","-1.33%"
"24/11/2025","33,739.7","33,947.2","34,016.3","33,705.2","5.23M","-0.61%"
"21/11/2025","33,947.2","33,601.5","34,016.3","33,394.0","9.43M","0.00%"
"20/11/2025","33,947.2","34,085.4","34,085.4","33,636.0","6.57M","-0.51%"
"19/11/2025","34,120.0","34,154.6","34,154.6","33,705.2","7.26M","-0.10%"
"18/11/2025","34,154.6","33,808.9","34,258.3","33,774.3","7.89M","1.13%"
"17/11/2025","33,774.3","33,705.2","33,843.4","33,428.6","7.25M","0.62%"
"14/11/2025","33,566.9","33,532.3","33,601.5","33,221.2","9.44M","-0.61%"
"13/11/2025","33,774.3","33,981.7","33,981.7","33,463.2","8.14M","-0.71%"
"12/11/2025","34,016.3","33,532.3","34,223.7","33,255.8","9.60M","1.44%"
"11/11/2025","33,532.3","33,290.3","33,532.3","32,495.2","12.74M","1.04%"
"10/11/2025","33,186.6","33,670.6","33,878.0","32,944.6","11.10M","-2.04%"
"07/11/2025","33,878.0","34,915.1","35,399.1","33,497.8","18.88M","-4.11%"
"06/11/2025","35,329.9","35,399.1","35,399.1","34,638.5","10.49M","-0.39%"
"05/11/2025","35,468.2","34,431.1","35,675.6","34,223.7","15.37M","2.70%"
"04/11/2025","34,534.8","33,359.5","34,569.4","33,082.9","10.67M","2.99%"
"03/11/2025","33,532.3","34,085.4","34,292.8","33,532.3","8.13M","-1.02%"
"31/10/2025","33,878.0","34,465.7","34,915.1","33,878.0","12.81M","-0.41%"
"30/10/2025","34,016.3","34,431.1","34,465.7","33,947.2","7.00M","-0.91%"
"29/10/2025","34,327.4","34,016.3","34,776.8","33,912.6","9.27M","1.33%"
"28/10/2025","33,878.0","33,566.9","33,878.0","33,013.8","9.04M","0.82%"
