"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/12/2025","25,300.0","25,000.0","25,300.0","24,950.0","23.82M","1.20%"
"30/12/2025","25,000.0","24,900.0","25,200.0","24,850.0","12.06M","0.60%"
"29/12/2025","24,850.0","24,850.0","25,000.0","24,700.0","11.45M","0.00%"
"26/12/2025","24,850.0","24,700.0","25,000.0","24,200.0","24.37M","-0.60%"
"25/12/2025","25,000.0","25,250.0","25,550.0","25,000.0","17.93M","-1.19%"
"24/12/2025","25,300.0","25,100.0","25,550.0","24,950.0","24.79M","0.80%"
"23/12/2025","25,100.0","25,350.0","25,650.0","24,900.0","22.00M","-0.59%"
"22/12/2025","25,250.0","24,850.0","25,400.0","24,650.0","26.66M","2.23%"
"19/12/2025","24,700.0","24,650.0","24,700.0","24,500.0","10.34M","0.20%"
"18/12/2025","24,650.0","24,300.0","24,700.0","24,250.0","12.96M","1.02%"
"17/12/2025","24,400.0","24,550.0","24,700.0","24,350.0","9.52M","-0.20%"
"16/12/2025","24,450.0","23,850.0","24,750.0","23,500.0","21.42M","2.95%"
"15/12/2025","23,750.0","24,000.0","24,200.0","23,650.0","16.02M","-1.04%"
"12/12/2025","24,000.0","24,900.0","24,950.0","24,000.0","21.85M","-3.42%"
"11/12/2025","24,850.0","25,250.0","25,300.0","24,700.0","15.19M","-1.19%"
"10/12/2025","25,150.0","24,700.0","25,450.0","24,600.0","25.87M","1.82%"
"09/12/2025","24,700.0","25,050.0","25,200.0","24,350.0","34.38M","-2.37%"
"08/12/2025","25,300.0","25,000.0","25,550.0","24,850.0","22.62M","0.60%"
"05/12/2025","25,150.0","25,800.0","25,800.0","25,100.0","29.44M","-2.14%"
"04/12/2025","25,700.0","24,800.0","26,000.0","24,800.0","80.91M","4.68%"
"03/12/2025","24,550.0","23,550.0","24,600.0","23,550.0","56.67M","4.25%"
"02/12/2025","23,550.0","23,200.0","23,600.0","23,000.0","19.17M","1.51%"
"01/12/2025","23,200.0","23,300.0","23,400.0","23,200.0","7.80M","-0.22%"
"28/11/2025","23,250.0","23,500.0","23,500.0","23,250.0","11.76M","-1.06%"
"27/11/2025","23,500.0","23,350.0","23,650.0","23,300.0","22.89M","1.08%"
"26/11/2025","23,250.0","22,900.0","23,450.0","22,850.0","21.64M","1.75%"
"25/11/2025","22,850.0","23,200.0","23,300.0","22,800.0","18.50M","-1.30%"
"24/11/2025","23,150.0","23,250.0","23,400.0","23,050.0","10.53M","-0.22%"
"21/11/2025","23,200.0","23,250.0","23,250.0","23,000.0","26.67M","-0.64%"
"20/11/2025","23,350.0","23,700.0","23,700.0","23,300.0","13.62M","-0.64%"
"19/11/2025","23,500.0","23,750.0","23,800.0","23,400.0","17.69M","-0.84%"
"18/11/2025","23,700.0","23,800.0","23,950.0","23,700.0","19.49M","-0.42%"
"17/11/2025","23,800.0","23,600.0","23,950.0","23,600.0","16.84M","1.28%"
"14/11/2025","23,500.0","23,450.0","23,650.0","23,300.0","16.56M","0.00%"
"13/11/2025","23,500.0","23,750.0","23,800.0","23,500.0","19.63M","-0.84%"
"12/11/2025","23,700.0","23,350.0","23,800.0","23,200.0","17.53M","2.16%"
"11/11/2025","23,200.0","23,150.0","23,350.0","23,000.0","15.21M","0.43%"
"10/11/2025","23,100.0","23,300.0","23,600.0","23,050.0","17.03M","-0.86%"
"07/11/2025","23,300.0","23,750.0","23,750.0","23,150.0","21.33M","-1.69%"
"06/11/2025","23,700.0","24,000.0","24,100.0","23,600.0","10.72M","-0.84%"
"05/11/2025","23,900.0","24,000.0","24,100.0","23,800.0","12.42M","-0.42%"
"04/11/2025","24,000.0","23,500.0","24,350.0","23,200.0","38.23M","3.90%"
"03/11/2025","23,100.0","23,700.0","24,000.0","23,100.0","29.96M","-2.12%"
"31/10/2025","23,600.0","23,800.0","24,100.0","23,600.0","19.85M","-1.46%"
"30/10/2025","23,950.0","24,400.0","24,400.0","23,850.0","24.50M","-1.64%"
"29/10/2025","24,350.0","24,200.0","24,600.0","24,050.0","24.11M","1.46%"
"28/10/2025","24,000.0","23,800.0","24,000.0","23,150.0","49.52M","0.84%"
"27/10/2025","23,800.0","24,550.0","24,650.0","23,800.0","52.33M","-2.46%"
"24/10/2025","24,400.0","25,150.0","25,150.0","24,350.0","46.36M","-3.17%"
"23/10/2025","25,200.0","25,500.0","25,700.0","25,200.0","19.90M","-0.98%"
"22/10/2025","25,450.0","25,600.0","25,650.0","24,800.0","29.60M","0.59%"
"21/10/2025","25,300.0","25,350.0","26,000.0","24,800.0","51.67M","0.20%"
"20/10/2025","25,250.0","26,950.0","27,100.0","25,250.0","74.53M","-6.83%"
