"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/12/2025","24,000.0","24,150.0","24,250.0","23,900.0","5.93M","-0.41%"
"30/12/2025","24,100.0","24,000.0","24,200.0","23,900.0","5.34M","0.42%"
"29/12/2025","24,000.0","23,850.0","24,100.0","23,800.0","3.77M","0.42%"
"26/12/2025","23,900.0","23,900.0","24,050.0","23,650.0","7.83M","-0.42%"
"25/12/2025","24,000.0","24,300.0","24,600.0","24,000.0","7.25M","-1.23%"
"24/12/2025","24,300.0","24,150.0","24,450.0","23,950.0","8.71M","0.41%"
"23/12/2025","24,200.0","24,450.0","24,600.0","23,950.0","8.58M","-0.41%"
"22/12/2025","24,300.0","24,000.0","24,450.0","23,900.0","10.01M","1.67%"
"19/12/2025","23,900.0","23,900.0","24,050.0","23,850.0","3.54M","0.21%"
"18/12/2025","23,850.0","24,000.0","24,000.0","23,800.0","3.56M","-0.63%"
"17/12/2025","24,000.0","24,050.0","24,150.0","23,900.0","6.43M","0.00%"
"16/12/2025","24,000.0","23,550.0","24,800.0","23,450.0","9.83M","1.91%"
"15/12/2025","23,550.0","23,500.0","23,600.0","23,450.0","9.32M","0.21%"
"12/12/2025","23,500.0","24,050.0","24,100.0","23,500.0","13.92M","-1.88%"
"11/12/2025","23,950.0","24,250.0","24,250.0","23,950.0","7.53M","-0.62%"
"10/12/2025","24,100.0","24,150.0","24,300.0","24,050.0","5.46M","0.00%"
"09/12/2025","24,100.0","24,200.0","24,250.0","24,000.0","11.33M","-0.41%"
"08/12/2025","24,200.0","24,250.0","24,450.0","24,200.0","4.94M","-0.62%"
"05/12/2025","24,350.0","24,900.0","25,000.0","24,350.0","8.99M","-2.21%"
"04/12/2025","24,900.0","24,550.0","25,000.0","24,500.0","12.22M","1.84%"
"03/12/2025","24,450.0","24,000.0","24,550.0","24,000.0","16.05M","2.09%"
"02/12/2025","23,950.0","24,050.0","24,150.0","23,850.0","15.50M","-0.21%"
"01/12/2025","24,000.0","24,300.0","24,350.0","24,000.0","9.24M","-1.03%"
"28/11/2025","24,250.0","24,350.0","24,450.0","24,250.0","5.36M","-0.41%"
"27/11/2025","24,350.0","24,450.0","24,500.0","24,300.0","7.79M","0.62%"
"26/11/2025","24,200.0","24,200.0","24,400.0","24,150.0","9.00M","0.00%"
"25/11/2025","24,200.0","24,650.0","24,700.0","24,100.0","15.86M","-1.63%"
"24/11/2025","24,600.0","24,700.0","24,850.0","24,600.0","7.08M","-0.40%"
"21/11/2025","24,700.0","24,750.0","24,850.0","24,600.0","7.30M","-0.40%"
"20/11/2025","24,800.0","25,000.0","25,000.0","24,800.0","6.15M","-0.40%"
"19/11/2025","24,900.0","25,150.0","25,150.0","24,850.0","5.99M","-0.80%"
"18/11/2025","25,100.0","25,200.0","25,400.0","25,050.0","6.39M","-0.20%"
"17/11/2025","25,150.0","25,000.0","25,150.0","24,950.0","3.95M","0.80%"
"14/11/2025","24,950.0","25,100.0","25,100.0","24,900.0","6.76M","-0.60%"
"13/11/2025","25,100.0","25,200.0","25,200.0","25,000.0","5.64M","-0.40%"
"12/11/2025","25,200.0","25,000.0","25,200.0","24,800.0","6.32M","1.41%"
"11/11/2025","24,850.0","24,850.0","25,050.0","24,800.0","6.96M","0.20%"
"10/11/2025","24,800.0","24,900.0","25,200.0","24,700.0","7.22M","-0.40%"
"07/11/2025","24,900.0","25,250.0","25,300.0","24,850.0","12.11M","-1.58%"
"06/11/2025","25,300.0","25,550.0","25,700.0","25,300.0","6.53M","-1.17%"
"05/11/2025","25,600.0","25,800.0","25,900.0","25,550.0","6.21M","-1.54%"
"04/11/2025","26,000.0","25,450.0","26,100.0","25,400.0","17.97M","2.16%"
"03/11/2025","25,450.0","25,400.0","25,900.0","25,300.0","13.86M","-0.20%"
"31/10/2025","25,500.0","25,300.0","25,500.0","25,050.0","12.75M","1.59%"
"30/10/2025","25,100.0","25,500.0","25,700.0","25,000.0","9.31M","-1.18%"
"29/10/2025","25,400.0","25,400.0","25,550.0","25,300.0","6.35M","0.00%"
"28/10/2025","25,400.0","25,100.0","25,400.0","25,050.0","10.31M","1.60%"
"27/10/2025","25,000.0","25,300.0","25,550.0","24,950.0","10.21M","0.00%"
"24/10/2025","25,000.0","24,950.0","25,300.0","24,800.0","11.72M","0.20%"
"23/10/2025","24,950.0","25,100.0","25,200.0","24,950.0","8.75M","-0.60%"
"22/10/2025","25,100.0","25,200.0","25,300.0","24,650.0","15.62M","0.40%"
"21/10/2025","25,000.0","24,850.0","25,300.0","24,850.0","19.37M","0.81%"
"20/10/2025","24,800.0","25,600.0","25,650.0","24,600.0","32.23M","-3.69%"
"17/10/2025","25,750.0","26,300.0","26,400.0","25,750.0","16.29M","-2.09%"
"16/10/2025","26,300.0","26,400.0","26,550.0","26,150.0","13.46M","0.00%"
"15/10/2025","26,300.0","26,400.0","26,650.0","26,150.0","14.42M","0.00%"
"14/10/2025","26,300.0","26,750.0","26,950.0","26,250.0","18.53M","-1.68%"
"13/10/2025","26,750.0","26,550.0","26,800.0","26,400.0","18.37M","-0.74%"
"10/10/2025","26,950.0","27,050.0","27,200.0","26,800.0","16.34M","0.00%"
"09/10/2025","26,950.0","26,800.0","26,950.0","26,600.0","16.39M","0.75%"
"08/10/2025","26,750.0","26,650.0","26,850.0","26,600.0","18.23M","1.13%"
"07/10/2025","26,450.0","26,900.0","26,900.0","26,450.0","12.39M","-1.31%"
"06/10/2025","26,800.0","26,150.0","26,800.0","25,900.0","20.29M","4.48%"
"03/10/2025","25,650.0","25,750.0","25,850.0","25,500.0","9.81M","-0.39%"
"02/10/2025","25,750.0","25,900.0","26,200.0","25,700.0","10.94M","-0.19%"
"01/10/2025","25,800.0","25,700.0","25,950.0","25,550.0","10.48M","1.18%"
"30/09/2025","25,500.0","25,750.0","25,800.0","25,450.0","9.28M","-0.39%"
"29/09/2025","25,600.0","25,550.0","25,800.0","25,350.0","8.27M","-0.19%"
"26/09/2025","25,650.0","25,650.0","25,750.0","25,450.0","8.97M","0.00%"
"25/09/2025","25,650.0","26,150.0","26,150.0","25,650.0","8.16M","-1.35%"
"24/09/2025","26,000.0","25,500.0","26,000.0","25,250.0","10.85M","2.56%"
"23/09/2025","25,350.0","25,150.0","25,700.0","25,150.0","9.39M","0.80%"
"22/09/2025","25,150.0","25,450.0","25,450.0","25,050.0","19.40M","-0.79%"
"19/09/2025","25,350.0","25,800.0","25,800.0","25,300.0","13.43M","-0.78%"
"18/09/2025","25,550.0","26,200.0","26,200.0","25,550.0","21.85M","-2.29%"
"17/09/2025","26,150.0","26,400.0","26,450.0","26,050.0","13.05M","-0.95%"
"16/09/2025","26,400.0","26,600.0","26,600.0","26,200.0","40.11M","0.00%"
"15/09/2025","26,400.0","26,300.0","26,650.0","26,100.0","27.90M","0.38%"
"12/09/2025","26,300.0","26,550.0","26,650.0","26,200.0","12.22M","0.38%"
"11/09/2025","26,200.0","26,500.0","26,550.0","25,800.0","20.45M","-1.32%"
"10/09/2025","26,550.0","26,700.0","26,850.0","26,450.0","14.09M","0.00%"
"09/09/2025","26,550.0","26,950.0","26,950.0","26,450.0","15.20M","0.00%"
"08/09/2025","26,550.0","27,000.0","27,600.0","26,550.0","26.15M","-2.21%"
"05/09/2025","27,150.0","27,950.0","28,050.0","27,150.0","23.54M","-1.81%"
"04/09/2025","27,650.0","27,600.0","27,750.0","27,400.0","11.28M","0.55%"
"03/09/2025","27,500.0","27,700.0","27,750.0","27,200.0","18.72M","-1.08%"
"29/08/2025","27,800.0","27,750.0","28,400.0","27,500.0","21.63M","0.91%"
"28/08/2025","27,550.0","27,800.0","28,150.0","27,100.0","13.93M","-0.36%"
"27/08/2025","27,650.0","27,800.0","28,600.0","27,550.0","18.83M","1.10%"
"26/08/2025","27,350.0","26,250.0","27,400.0","26,100.0","20.81M","4.39%"
"25/08/2025","26,200.0","28,200.0","28,400.0","25,950.0","37.41M","-5.92%"
"22/08/2025","27,850.0","29,000.0","29,400.0","27,650.0","43.01M","-5.43%"
"21/08/2025","29,450.0","28,300.0","29,500.0","28,000.0","45.80M","5.18%"
"20/08/2025","28,000.0","28,500.0","28,500.0","26,900.0","33.27M","-1.58%"
"19/08/2025","28,450.0","27,050.0","28,700.0","27,000.0","41.18M","5.18%"
"18/08/2025","27,050.0","26,800.0","27,500.0","26,350.0","28.48M","1.88%"
"15/08/2025","26,550.0","27,300.0","27,600.0","26,350.0","29.32M","1.34%"
"14/08/2025","26,200.0","24,750.0","26,200.0","24,700.0","34.89M","6.94%"
"13/08/2025","24,500.0","24,400.0","24,650.0","24,150.0","19.29M","1.03%"
"12/08/2025","24,250.0","24,500.0","24,550.0","24,100.0","14.63M","-0.61%"
"11/08/2025","24,400.0","24,300.0","24,700.0","24,250.0","16.06M","0.62%"
"08/08/2025","24,250.0","24,500.0","24,800.0","24,000.0","15.79M","-0.61%"
"07/08/2025","24,400.0","24,400.0","24,650.0","24,100.0","19.10M","0.83%"
"06/08/2025","24,200.0","23,700.0","24,400.0","23,700.0","16.25M","3.20%"
"05/08/2025","23,450.0","23,500.0","24,500.0","23,300.0","42.32M","0.64%"
"04/08/2025","23,300.0","23,000.0","23,300.0","22,800.0","11.14M","1.30%"
"01/08/2025","23,000.0","23,000.0","23,050.0","22,800.0","7.32M","0.00%"
"31/07/2025","23,000.0","23,200.0","23,250.0","22,700.0","10.61M","0.00%"
"30/07/2025","23,000.0","22,750.0","23,100.0","22,700.0","15.00M","1.10%"
"29/07/2025","22,750.0","23,900.0","23,950.0","22,750.0","34.03M","-4.61%"
"28/07/2025","23,850.0","23,700.0","23,850.0","23,500.0","16.87M","1.06%"
"25/07/2025","23,600.0","23,450.0","23,700.0","23,450.0","17.56M","1.72%"
"24/07/2025","23,200.0","23,150.0","23,500.0","23,100.0","15.17M","0.87%"
"23/07/2025","23,000.0","23,050.0","23,150.0","22,900.0","15.20M","0.44%"
